model_params_b,training_hours,dataset_size_gb,gpu_count,batch_size,learning_rate,epochs,validation_loss,inference_speed_ms,accuracy_score
7.0,720,500,8,32,0.0001,50,0.0234,45,92.3
13.0,1440,1200,16,64,0.00005,75,0.0189,78,94.7
1.5,180,150,4,16,0.0003,30,0.0412,22,87.5
70.0,4320,3500,64,128,0.00001,100,0.0098,156,97.2
3.0,360,280,8,32,0.0002,40,0.0356,31,89.8
30.0,2160,1800,32,64,0.00003,80,0.0145,112,95.9
0.5,96,50,2,8,0.0005,20,0.0567,12,82.1
20.0,1680,1400,24,48,0.00004,65,0.0167,89,95.1
175.0,8640,8000,128,256,0.000005,120,0.0067,298,98.4
8.0,840,620,12,32,0.00008,55,0.0223,52,93.1
0.3,48,25,1,4,0.001,15,0.0698,8,78.4
45.0,3000,2400,48,96,0.00002,85,0.0112,134,96.5
12.0,1200,900,16,48,0.00006,60,0.0198,71,94.2
5.0,540,400,8,24,0.00015,45,0.0289,38,91.2
100.0,5760,5000,96,192,0.000008,110,0.0078,215,97.8
