timestamp,token_price,rolling_mean_24h,rolling_std_24h,hour_of_day,day_of_week,is_weekend,volume_24h,market_cap_m,anomaly
2024-03-01 00:00:00,2.45,2.38,0.12,0,5,1,1250000,245.5,0
2024-03-01 01:00:00,2.42,2.39,0.11,1,5,1,1180000,242.8,0
2024-03-01 02:00:00,2.38,2.38,0.10,2,5,1,980000,238.4,0
2024-03-01 03:00:00,2.41,2.39,0.09,3,5,1,850000,241.2,0
2024-03-01 04:00:00,2.44,2.40,0.10,4,5,1,920000,244.1,0
2024-03-01 05:00:00,2.48,2.41,0.11,5,5,1,1100000,248.3,0
2024-03-01 06:00:00,2.52,2.43,0.12,6,5,1,1450000,252.7,0
2024-03-01 07:00:00,2.61,2.45,0.14,7,5,1,2100000,261.4,0
2024-03-01 08:00:00,2.78,2.49,0.18,8,5,1,3500000,278.9,0
2024-03-01 09:00:00,3.45,2.58,0.32,9,5,1,8900000,345.2,1
2024-03-01 10:00:00,3.21,2.64,0.29,10,5,1,6200000,321.8,0
2024-03-01 11:00:00,3.08,2.68,0.25,11,5,1,4800000,308.5,0
2024-03-01 12:00:00,2.95,2.71,0.22,12,5,1,3900000,295.3,0
2024-03-01 13:00:00,2.88,2.73,0.20,13,5,1,3200000,288.7,0
2024-03-01 14:00:00,2.82,2.74,0.18,14,5,1,2800000,282.4,0
